Date,Attendance,Admissions,Tri_1,Tri_2,Tri_3,Tri_4,Tri_5
11-JUN-2014,200,100,,47,101,48,3.0
12-JUN-2014,169,102,,42,82,41,
13-JUN-2014,140,82,,54,53,26,6.0
14-JUN-2014,208,94,3.0,39,115,43,8.0
15-JUN-2014,168,80,,45,62,57,3.0
16-JUN-2014,187,103,,43,86,51,6.0
17-JUN-2014,164,85,,47,60,53,4.0
18-JUN-2014,194,107,3.0,51,82,53,5.0
19-JUN-2014,180,104,,46,82,48,
20-JUN-2014,180,93,,47,93,36,
21-JUN-2014,188,104,3.0,45,64,73,3.0
22-JUN-2014,191,101,3.0,53,80,51,4.0
23-JUN-2014,195,105,3.0,53,88,48,3.0
24-JUN-2014,176,96,5.0,32,96,41,
25-JUN-2014,175,99,4.0,48,74,47,
26-JUN-2014,164,99,3.0,52,83,26,
27-JUN-2014,164,90,3.0,47,68,41,5.0
28-JUN-2014,197,100,6.0,46,82,59,4.0
29-JUN-2014,179,89,8.0,36,77,53,5.0
30-JUN-2014,201,113,3.0,55,89,49,5.0
