Date,Attendance,Admissions,Tri_1,Tri_2,Tri_3,Tri_4,Tri_5
19-MAR-2014,259,81,,39,69,146,3                                                                                                                                                                                                                                                                                            
20-MAR-2014,262,85,,28,75,146,12                                                                                                                                                                                                                                                                                             
21-MAR-2014,263,78,,35,89,132,6                                                                                                                                                                                                                                                                                            
22-MAR-2014,295,79,,30,116,142,6                                                                                                                                                                                                                                                                                             
23-MAR-2014,298,78,,28,110,157,N/A                                                                                                                                                                                                                                                                                            
24-MAR-2014,294,74,,26,116,142,9                                                                                                                                                                                                                                                                                            
25-MAR-2014,277,88,,29,117,127,4                                                                                                                                                                                                                                                                                               
26-MAR-2014,256,74,,33,83,133,6                                                                                                                                                                                                                                                                                                
27-MAR-2014,275,67,,27,78,158,11                                                                                                                                                                                                                                                                                           
28-MAR-2014,240,81,,23,76,131,10                                                                                                                                                                                                                                                                                               
29-MAR-2014,252,72,,28,74,141,9                                                                                                                                                                                                                                                                                                 
30-MAR-2014,284,75,,32,112,135,4                                                                                                                                                                                                                                                                                              
31-MAR-2014,293,78,,24,105,152,11                                                                                                                                                                                                                                                                                             
01-APR-2014,247,92,,25,97,119,6                                                                                                                                                                                                                                                                                                
02-APR-2014,242,87,,35,81,120,5                                                                                                                                                                                                                                                                                                   
03-APR-2014,243,77,,19,91,127,4                                                                                                                                                                                                                                                                                            
04-APR-2014,276,71,,33,91,142,9                                                                                                                                                                                                                                                                                                
05-APR-2014,291,74,,33,81,168,9                                                                                                                                                                                                                                                                                                
06-APR-2014,303,77,,32,84,181,5                                                                                                                                                                                                                                                                                           
07-APR-2014,290,81,4.0,36,89,159,N/A                                                                                                                                                                                                                                                                                            
08-APR-2014,248,88,,37,84,122,4                                                                                                                                                                                                                                                                                             
09-APR-2014,265,70,,18,95,150,N/A                                                                                                                                                                                                                                                                                           
10-APR-2014,266,81,,22,101,138,4                                                                                                                                                                                                                                                                                          
11-APR-2014,288,82,,40,99,142,5                                                                                                                                                                                                                                                                                                 
12-APR-2014,273,77,,33,77,157,5                                                                                                                                                                                                                                                                                                
13-APR-2014,294,84,,39,115,128,11                                                                                                                                                                                                                                                                                                 
14-APR-2014,284,75,,42,100,135,6                                                                                                                                                                                                                                                                                                
15-APR-2014,267,79,,30,70,152,13                                                                                                                                                                                                                                                                                                   
16-APR-2014,253,79,,34,81,136,N/A                                                                                                                                                                                                                                                                                          
17-APR-2014,248,69,,22,101,110,15                                                                                                                                                                                                                                                                                            
18-APR-2014,252,72,,23,95,124,10                                                                                                                                                                                                                                                                                               
19-APR-2014,238,61,,29,74,126,9                                                                                                                                                                                                                                                                                                 
20-APR-2014,274,73,,29,70,160,15                                                                                                                                                                                                                                                                                           
21-APR-2014,286,73,,34,97,139,16                                                                                                                                                                                                                                                                                                 
22-APR-2014,285,75,,26,114,134,10                                                                                                                                                                                                                                                                                             
23-APR-2014,228,71,,18,94,101,13                                                                                                                                                                                                                                                                                              
24-APR-2014,279,86,,32,114,125,7                                                                                                                                                                                                                                                                                           
25-APR-2014,244,53,3.0,18,100,121,N/A                                                                                                                                                                                                                                                                                            
26-APR-2014,281,75,,29,84,153,14                                                                                                                                                                                                                                                                                             
27-APR-2014,264,64,,32,81,137,14                                                                                                                                                                                                                                                                                            
28-APR-2014,279,84,,34,84,149,12                                                                                                                                                                                                                                                                                           
29-APR-2014,201,66,,27,71,98,3                                                                                                                                                                                                                                                                                            
30-APR-2014,241,69,,36,98,101,5                                                                                                                                                                                                                                                                                              
01-MAY-2014,231,78,,30,80,115,4                                                                                                                                                                                                                                                                                             
02-MAY-2014,233,70,,28,82,119,3                                                                                                                                                                                                                                                                                               
03-MAY-2014,240,63,,27,80,132,N/A                                                                                                                                                                                                                                                                                                
04-MAY-2014,279,71,,27,120,129,N/A                                                                                                                                                                                                                                                                                            
05-MAY-2014,266,82,,29,89,148,N/A                                                                                                                                                                                                                                                                                             
06-MAY-2014,268,82,,30,94,138,5                                                                                                                                                                                                                                                                                               
07-MAY-2014,246,76,,28,109,98,9                                                                                                                                                                                                                                                                                              
08-MAY-2014,237,67,,25,98,101,12                                                                                                                                                                                                                                                                                              
09-MAY-2014,252,73,,36,87,120,8                                                                                                                                                                                                                                                                                                 
10-MAY-2014,258,64,,26,89,138,4                                                                                                                                                                                                                                                                                        
11-MAY-2014,323,78,4.0,35,119,159,6                                                                                                                                                                                                                                                                                          
12-MAY-2014,289,82,,38,91,147,11                                                                                                                                                                                                                                                                                             
13-MAY-2014,261,70,,32,90,131,7                                                                                                                                                                                                                                                                                                 
14-MAY-2014,248,60,,24,74,143,7                                                                                                                                                                                                                                                                                                   
15-MAY-2014,263,85,,35,95,128,4                                                                                                                                                                                                                                                                                              
16-MAY-2014,267,76,,24,105,126,10                                                                                                                                                                                                                                                                                                   
17-MAY-2014,275,72,,41,110,111,12                                                                                                                                                                                                                                                                                                 
18-MAY-2014,318,75,,24,105,174,13                                                                                                                                                                                                                                                                                              
19-MAY-2014,295,88,3.0,34,109,139,10                                                                                                                                                                                                                                                                                                  
20-MAY-2014,274,76,,34,103,123,13                                                                                                                                                                                                                                                                                            
21-MAY-2014,262,79,,26,93,127,14                                                                                                                                                                                                                                                                                                 
22-MAY-2014,257,60,,21,110,124,N/A                                                                                                                                                                                                                                                                                       
23-MAY-2014,240,73,,19,77,114,29                                                                                                                                                                                                                                                                                                  
24-MAY-2014,232,57,,19,96,113,3                                                                                                                                                                                                                                                                                                   
25-MAY-2014,271,74,,28,95,135,13                                                                                                                                                                                                                                                                                          
26-MAY-2014,305,77,,34,120,141,9                                                                                                                                                                                                                                                                                                     
27-MAY-2014,244,63,,32,79,129,3                                                                                                                                                                                                                                                                                           
28-MAY-2014,251,82,4.0,29,90,123,5                                                                                                                                                                                                                                                                                            
29-MAY-2014,270,86,,27,84,154,3                                                                                                                                                                                                                                                                                                  
30-MAY-2014,238,65,,33,74,116,13                                                                                                                                                                                                                                                                                             
31-MAY-2014,259,68,,35,77,139,6                                                                                                                                                                                                                                                                                                     
01-JUN-2014,257,65,3.0,26,96,131,N/A                                                                                                                                                                                                                                                                                                  
02-JUN-2014,294,80,7.0,25,117,135,10                                                                                                                                                                                                                                                                                               
03-JUN-2014,280,92,,40,110,125,3                                                                                                                                                                                                                                                                                                  
04-JUN-2014,257,64,,30,94,125,6                                                                                                                                                                                                                                                                                        
