Date,Attendance,Admissions,Tri_1,Tri_2,Tri_3,Tri_4,Tri_5
05-JUN-2014,113,25,,24,31,51,7.0
06-JUN-2014,116,25,,19,51,42,4.0
07-JUN-2014,130,34,,21,58,46,4.0
08-JUN-2014,156,24,,20,57,67,12.0
09-JUN-2014,134,31,,17,39,60,18.0
10-JUN-2014,126,31,,28,59,35,4.0
11-JUN-2014,116,29,,25,41,45,4.0
12-JUN-2014,131,16,,15,72,38,5.0
13-JUN-2014,121,22,,17,55,46,
14-JUN-2014,139,10,,22,47,58,10.0
15-JUN-2014,130,30,,26,55,46,
16-JUN-2014,139,20,,21,50,53,14.0
17-JUN-2014,127,22,,30,42,46,7.0
18-JUN-2014,110,22,,12,41,40,16.0
19-JUN-2014,130,34,,31,41,50,7.0
20-JUN-2014,131,25,,25,51,40,14.0
21-JUN-2014,130,23,,22,56,48,3.0
22-JUN-2014,140,23,3.0,23,53,59,
23-JUN-2014,130,20,,18,48,53,9.0
24-JUN-2014,134,35,,14,57,51,11.0
25-JUN-2014,131,27,,19,45,62,4.0
26-JUN-2014,130,28,,21,56,47,6.0
27-JUN-2014,145,31,,23,48,61,13.0
28-JUN-2014,129,28,,19,56,46,7.0
29-JUN-2014,142,29,,28,62,45,6.0
30-JUN-2014,161,25,,21,61,73,5.0
